State,County,FIPS,Children in poverty,Drinking water violations,Severe housing problems,Food insecurity
NC,Onslow County,37133,0.232,0.286,0.156,0.171
NC,Orange County,37135,0.153,0.0,0.197,0.154
NC,Orange County,37135,0.134,0.0,0.199,0.156
NC,Pamlico County,37137,0.318,0.0,0.156,0.152
NC,Pamlico County,37137,0.351,0.473,0.166,0.157
NC,Pasquotank County,37139,0.284,0.0,0.193,0.21
NC,Pasquotank County,37139,0.339,0.0,0.216,0.204
NC,Pender County,37141,0.27,0.167,0.156,0.173
NC,Pender County,37141,0.255,0.174,0.17,0.17
NC,Perquimans County,37143,0.312,0.0,0.143,0.184
NC,Perquimans County,37143,0.351,0.011,0.171,0.178
NC,Person County,37145,0.238,0.0,0.14,0.185
NC,Person County,37145,0.257,0.0,0.143,0.178
NC,Pitt County,37147,0.299,0.031,0.228,0.225
NC,Pitt County,37147,0.311,0.032,0.227,0.215
NC,Polk County,37149,0.295,0.0,0.137,0.127
NC,Polk County,37149,0.264,0.0,0.138,0.142
NC,Randolph County,37151,0.278,0.144,0.142,0.157
NC,Randolph County,37151,0.287,0.102,0.149,0.154
NC,Richmond County,37153,0.363,0.016,0.172,0.228
NC,Richmond County,37153,0.408,0.032,0.175,0.219
NC,Robeson County,37155,0.478,0.0,0.175,0.235
NC,Robeson County,37155,0.44,0.011,0.184,0.228
NC,Rockingham County,37157,0.276,0.151,0.124,0.181
NC,Rockingham County,37157,0.293,0.022,0.136,0.181
NC,Rowan County,37159,0.272,0.0,0.154,0.178
NC,Rowan County,37159,0.278,0.003,0.154,0.174
NC,Rutherford County,37161,0.288,0.014,0.16,0.198
NC,Rutherford County,37161,0.344,0.003,0.145,0.19
NC,Sampson County,37163,0.312,0.0,0.173,0.183
NC,Sampson County,37163,0.328,0.0,0.172,0.179
NC,Scotland County,37165,0.468,0.032,0.194,0.275
NC,Scotland County,37165,0.441,0.032,0.204,0.264
NC,Stanly County,37167,0.254,0.1,0.116,0.162
NC,Stanly County,37167,0.256,0.339,0.127,0.158
NC,Stokes County,37169,0.251,0.449,0.106,0.139
NC,Stokes County,37169,0.207,0.0,0.118,0.149
NC,Surry County,37171,0.266,0.004,0.145,0.161
NC,Surry County,37171,0.31,0.002,0.148,0.159
NC,Swain County,37173,0.323,0.017,0.128,0.183
NC,Swain County,37173,0.349,0.017,0.132,0.181
NC,Transylvania County,37175,0.297,0.009,0.116,0.139
NC,Transylvania County,37175,0.297,0.012,0.118,0.148
NC,Tyrrell County,37177,0.397,0.0,0.162,0.191
NC,Tyrrell County,37177,0.389,0.0,0.174,0.192
NC,Union County,37179,0.156,0.0,0.131,0.125
NC,Union County,37179,0.144,0.0,0.133,0.124
NC,Vance County,37181,0.397,0.005,0.2,0.265
NC,Vance County,37181,0.403,0.005,0.215,0.249
NC,Wake County,37183,0.154,0.002,0.144,0.15
NC,Wake County,37183,0.145,0.015,0.143,0.149
NC,Warren County,37185,0.355,0.374,0.178,0.252
NC,Warren County,37185,0.398,0.364,0.174,0.235
NC,Washington County,37187,0.43,0.0,0.231,0.247
NC,Washington County,37187,0.403,0.027,0.223,0.232
NC,Watauga County,37189,0.222,0.001,0.27,0.184
NC,Watauga County,37189,0.213,0.001,0.254,0.19
NC,Wayne County,37191,0.351,0.0,0.146,0.196
NC,Wayne County,37191,0.321,0.03,0.152,0.196
NC,Wilkes County,37193,0.283,0.0,0.149,0.177
NC,Wilkes County,37193,0.315,0.0,0.159,0.173
NC,Wilson County,37195,0.367,0.005,0.196,0.236
NC,Wilson County,37195,0.337,0.019,0.199,0.226
NC,Yadkin County,37197,0.312,0.025,0.101,0.142
NC,Yadkin County,37197,0.271,0.021,0.123,0.145
NC,Yancey County,37199,0.31,0.0,0.119,0.159
NC,Yancey County,37199,0.308,0.0,0.142,0.16
